 s1      s3      s5      s7      s9      s11     s13     s15     s17     s19     s21     s23     s25     s27     s29     s31
128m    6164    3569    2621    1981    1583    1272    1039    859     756     702     663     633     610     601     585     581
64m     6350    3623    2644    2002    1597    1297    1055    875     768     711     668     639     621     606     593     589
32m     5983    3414    2518    1907    1517    1233    998     830     728     679     638     614     602     581     580     583
16m     7724    5153    3801    2943    2446    2139    1879    1678    1510    1422    1373    1351    1382    1380    1488    1652
8m      10002   9824    9593    8715    7547    6554    5660    5027    4690    4667    4563    4466    4297    4173    4088    3921
4m      10730   9845    9746    8855    7543    6691    5731    5118    4814    4757    4666    4579    4439    4304    4211    4015
2m      12874   9762    9716    8999    7842    6746    5809    5155    4825    4820    4691    4604    4478    4314    4241    4008
1024k   12243   9831    9764    7966    6397    6865    5868    5188    4821    4837    4689    4620    4576    4518    4609    4402
512k    9861    9839    9656    9476    9157    8451    7306    6521    6036    5949    5892    5956    6139    6253    6202    6443
256k    9856    9845    9781    9761    9724    9670    8215    7121    6605    6466    6326    6286    6382    6335    6354    6444
128k    10425   9867    9727    9734    9691    9591    8183    7149    6577    6434    6294    6392    6306    6375    6355    6495
64k     11088   9868    9693    9734    9563    9442    8116    7152    6634    6375    6359    6323    7267    6926    6837    8448
32k     12728   10095   10220   9937    10093   9596    9675    9487    9169    9067    9171    8884    9340    9329    11270   8792
16k     10974   12671   12577   12280   11354   11452   11456   9890    10655   9538    9732    10184   9369    10082   9383    8784
8k      12975   12387   11679   10597   10117   9283    9011    9083    8002    8641    7819    7137    6556    6075    5654    5293
4k      12382   11354   10219   8367    9122    7458    6315    5473    8043    5365    9732    8884    8135    7536    7037    3294
2k      9292    8510    8200    5854    11329   9283    7836    6788    4021    5340    9893    9077    4043    3743    7139    3294
1k      9310    8510    6836    7287    5640    4642    3893    6935    2995    5405    2396    2196    4080    1847    3570    3366
